,q,I
0,0.0017190449746450683,15.000167846679688
1,0.005157134919672896,10.668243408203123
2,0.008595224851913804,11.67674160003662
3,0.012033314762843172,10.941085815429688
4,0.015471404643936391,10.05478858947754
5,0.018909494486668843,12.829236030578612
6,0.02234758428251592,13.741218566894531
7,0.025785674022953,12.845069885253906
8,0.02922376369945548,11.778075218200684
9,0.032661853303498724,12.671966552734377
10,0.03609994282655814,13.967575073242188
11,0.0395380322601091,13.546463966369627
12,0.042976121595627005,12.423877716064451
13,0.04641421082458724,12.603446960449219
14,0.049852299938465176,12.912327766418455
15,0.05329038892873622,12.411390304565428
16,0.05672847778687576,12.27243995666504
17,0.06016656650435916,13.945236206054688
18,0.06360465507266182,16.234760284423828
19,0.06704274348325913,25.837621688842773
20,0.07048083172762651,31.29854202270508
21,0.0739189197972393,38.19732666015625
22,0.07735700768357293,43.272911071777344
23,0.08079509537810275,40.609371185302734
24,0.08423318287230418,36.23326110839844
25,0.08767127015765258,40.03604888916016
26,0.0911093572256234,40.51934051513672
27,0.09454744406769201,37.62579727172852
28,0.09798553067533376,40.081897735595696
29,0.10142361704002407,45.645015716552734
30,0.10486170315323838,44.26073455810546
31,0.108299789006452,47.802444458007805
32,0.1117378745911404,50.05482864379882
33,0.11517595989877896,50.80525588989258
34,0.11861404492084304,53.17243194580078
35,0.12205212964880809,54.460498809814446
36,0.12549021407414945,55.23779296875
37,0.12892829818834256,55.81661605834961
38,0.1323663819828628,56.722850799560554
39,0.1358044654491856,57.31748962402344
40,0.13924254857878632,57.83909225463867
41,0.1426806313631404,59.55774688720703
42,0.1461187137937232,59.66756057739258
43,0.14955679586201015,59.216411590576165
44,0.15299487755947672,58.80132293701172
45,0.1564329588775982,59.92147445678711
46,0.15987103980785003,60.75737762451172
47,0.16330912034170766,61.620304107666016
48,0.1667472004706465,62.5146598815918
49,0.17018528018614193,62.31588363647461
50,0.1736233594796693,63.81758499145508
51,0.17706143834270416,64.72669982910156
52,0.18049951676672185,63.32991027832031
53,0.18393759474319776,64.91014099121094
54,0.18737567226360735,67.28163146972656
55,0.190813749319426,67.73188018798828
56,0.1942518259021292,67.08915710449219
57,0.19768990200319217,68.35074615478516
58,0.20112797761409057,70.26429748535156
59,0.20456605272629969,70.8712387084961
60,0.20800412733129503,70.37406921386719
61,0.21144220142055195,71.42061614990233
62,0.21488027498554588,73.1751937866211
63,0.21831834801775224,72.30831909179686
64,0.22175642050864647,72.93510437011719
65,0.22519449244970408,74.94136047363281
66,0.2286325638324004,74.47718811035155
67,0.2320706346482108,75.59295654296875
68,0.2355087048886109,76.68592834472656
69,0.238946774545076,77.34181976318358
70,0.2423848436090816,76.59517669677734
71,0.24582291207210305,77.05118560791014
72,0.24926097992561588,78.49633026123047
73,0.25269904716109554,78.9505844116211
74,0.2561371137700173,80.55770874023438
75,0.2595751797438568,80.62397003173827
76,0.26301324507408946,79.8817138671875
77,0.2664513097521906,79.9236831665039
78,0.26988937376963584,80.13654327392578
79,0.2733274371179004,80.80339813232422
80,0.27676549978846005,81.06031799316406
81,0.28020356177279,81.3177261352539
82,0.28364162306236573,83.7513656616211
83,0.2870796836486627,83.66661071777342
84,0.29051774352315646,82.3343734741211
85,0.29395580267732246,83.2142105102539
86,0.297393861102636,83.3326416015625
87,0.30083191879057275,83.81763458251953
88,0.30426997573260806,84.25640869140625
89,0.3077080319202175,85.69525146484375
90,0.3111460873448764,85.30638885498048
91,0.3145841419980602,85.3625717163086
92,0.3180221958712446,85.3514175415039
93,0.32146024895590486,84.97547912597656
94,0.32489830124351654,85.95011138916014
95,0.3283363527255551,85.5451889038086
96,0.33177440339349606,85.76289367675781
97,0.33521245323881493,86.93614196777342
98,0.33865050225298715,88.63469696044922
99,0.34208855042748815,89.87034606933594
100,0.34552659775379346,89.99777984619139
101,0.3489646442233787,91.78977966308592
102,0.35240268982771894,94.88059997558592
103,0.3558407345582903,98.40232849121091
104,0.3592787784065678,103.33462524414062
105,0.3627168213640272,109.52091217041016
106,0.3661548634221438,115.9656753540039
107,0.3695929045723932,121.99477386474608
108,0.3730309448062509,130.87660217285156
109,0.3764689841151926,142.25648498535156
110,0.37990702249069336,152.6887664794922
111,0.3833450599242292,162.9231719970703
112,0.38678309640727526,174.9955291748047
113,0.39022113193130725,185.1200408935547
114,0.39365916648780064,191.3842010498047
115,0.3970972000682309,198.07388305664065
116,0.4005352326640736,199.172607421875
117,0.40397326426680424,197.29681396484372
118,0.40741129486789845,192.114013671875
119,0.41084932445883177,182.6889190673828
120,0.4142873530310796,170.95358276367188
121,0.4177253805761175,158.66720581054688
122,0.4211634070854211,148.1087646484375
123,0.4246014325504658,136.59512329101562
124,0.4280394569627274,127.59842681884764
125,0.43147748031368094,120.34130096435545
126,0.43491550259480255,113.87771606445312
127,0.4383535237975677,108.92589569091795
128,0.44179154391345166,104.33768463134764
129,0.44522956293393007,101.72994995117188
130,0.4486675808504786,99.41477203369139
131,0.45210559765457264,98.3104248046875
132,0.45554361333768806,97.5096206665039
133,0.4589816278913001,95.64704895019533
134,0.46241964130688445,93.2123565673828
135,0.46585765357591685,92.72931671142578
136,0.4692956646898728,92.81790924072264
137,0.4727336746402276,91.51245117187501
138,0.4761716834184572,91.35873413085936
139,0.4796096910160368,91.51300048828125
140,0.4830476974244425,91.21144104003906
141,0.4864857026351496,91.48608398437501
142,0.4899237066396336,90.27167510986328
143,0.4933617094293703,88.95668029785155
144,0.4967997109958352,88.81743621826173
145,0.5002377113305039,89.2253952026367
146,0.5036757104248522,88.6680908203125
